"None","E(keV)","psi0rSi111","psi0iSi111","psihrSi111","psihiSi111","psihbrSi111","psihbiSi111"
375,20.70000,-2.2607E-006,8.1369E-009,1.1906E-006,5.6782E-009,1.1906E-006,5.6782E-009
376,20.75000,-2.2498E-006,8.0583E-009,1.1848E-006,5.6233E-009,1.1848E-006,5.6233E-009
377,20.80000,-0.000002239,0.000000008,1.1791E-006,5.5691E-009,1.1791E-006,5.5691E-009
378,20.85000,-2.2282E-006,7.9037E-009,1.1734E-006,5.5155E-009,1.1734E-006,5.5155E-009
379,20.90000,-2.2175E-006,7.8278E-009,1.1678E-006,5.4625E-009,1.1678E-006,5.4625E-009
380,20.95000,-2.2069E-006,7.7529E-009,1.1622E-006,5.4102E-009,1.1622E-006,5.4102E-009
381,21.00000,-2.1964E-006,7.6788E-009,1.1566E-006,5.3585E-009,1.1566E-006,5.3585E-009
382,21.05000,-2.1859E-006,7.6056E-009,1.1511E-006,5.3075E-009,1.1511E-006,5.3075E-009
383,21.10000,-2.1755E-006,7.5332E-009,1.1456E-006,5.257E-009,1.1456E-006,5.257E-009
384,21.15000,-2.1652E-006,7.4617E-009,1.1402E-006,5.2071E-009,1.1402E-006,5.2071E-009
385,21.20000,-0.000002155,7.3911E-009,1.1348E-006,5.1578E-009,1.1348E-006,5.1578E-009
386,21.25000,-2.1448E-006,7.3213E-009,1.1295E-006,5.1091E-009,1.1295E-006,5.1091E-009
387,21.30000,-2.1347E-006,7.2523E-009,1.1241E-006,5.061E-009,1.1241E-006,5.061E-009
388,21.35000,-2.1247E-006,7.1841E-009,1.1189E-006,0.000000005,1.1189E-006,0.000000005
389,21.40000,-2.1148E-006,7.1167E-009,1.1136E-006,0.000000005,1.1136E-006,0.000000005
390,21.45000,-2.1049E-006,7.0501E-009,1.1084E-006,4.9199E-009,1.1084E-006,4.9199E-009
391,21.50000,-2.0951E-006,0.000000007,1.1032E-006,4.874E-009,1.1032E-006,4.874E-009
392,21.55000,-2.0853E-006,6.9192E-009,1.0981E-006,4.8286E-009,1.0981E-006,4.8286E-009
393,21.60000,-2.0757E-006,6.8549E-009,0.000001093,4.7837E-009,0.000001093,4.7837E-009
394,21.65000,-2.0661E-006,6.7913E-009,1.0879E-006,4.7394E-009,1.0879E-006,4.7394E-009
395,21.70000,-2.0565E-006,6.7285E-009,1.0829E-006,4.6955E-009,1.0829E-006,4.6955E-009
396,21.75000,-0.000002047,6.6663E-009,1.0779E-006,4.6522E-009,1.0779E-006,4.6522E-009
397,21.80000,-2.0376E-006,6.6049E-009,1.0729E-006,4.6093E-009,1.0729E-006,4.6093E-009
